Claim_ID,Claim_Date,Sale_ID,Repair_Status
CL-58750,Microsoft.OleDb.Date,YG-8782,Completed
CL-8874,Microsoft.OleDb.Date,QX-999001,Pending
CL-14486,Microsoft.OleDb.Date,JG-46890,Pending
CL-42187,Microsoft.OleDb.Date,XJ-1731,Pending
CL-37590,Microsoft.OleDb.Date,FG-95080,Completed
CL-30514,Microsoft.OleDb.Date,II-3954,Pending
CL-47122,Microsoft.OleDb.Date,ES-7238,Completed
CL-5722,Microsoft.OleDb.Date,YO-701453,In Progress
CL-75561,Microsoft.OleDb.Date,JB-46303,Completed
CL-3634,Microsoft.OleDb.Date,QY-9761,In Progress
CL-8719,Microsoft.OleDb.Date,RR-9679,Rejected
CL-49704,Microsoft.OleDb.Date,PT-825391,Rejected
CL-35213,Microsoft.OleDb.Date,JY-9420,Completed
CL-27667,Microsoft.OleDb.Date,WB-9150,Pending
CL-7124,Microsoft.OleDb.Date,UN-941274,Completed
CL-3763,Microsoft.OleDb.Date,KL-629620,Completed
CL-6383,Microsoft.OleDb.Date,LH-1755,Pending
CL-6345,Microsoft.OleDb.Date,LK-385613,In Progress
CL-78615,Microsoft.OleDb.Date,JM-75607,Completed
CL-29490,Microsoft.OleDb.Date,UJ-07947,Completed
CL-27770,Microsoft.OleDb.Date,BG-145539,Pending
CL-12189,Microsoft.OleDb.Date,NY-82428,Completed
CL-34828,Microsoft.OleDb.Date,HL-0239,Rejected
CL-3992,Microsoft.OleDb.Date,VT-954957,Pending
CL-9801,Microsoft.OleDb.Date,KE-5276,Pending
CL-13943,Microsoft.OleDb.Date,DL-0438,Completed
CL-23879,Microsoft.OleDb.Date,GN-099683,In Progress
CL-655,Microsoft.OleDb.Date,KD-9288,Rejected
CL-4071,Microsoft.OleDb.Date,KZ-5319,Pending
CL-7338,Microsoft.OleDb.Date,HL-8173,In Progress
CL-44291,Microsoft.OleDb.Date,SJ-237458,Pending
CL-8833,Microsoft.OleDb.Date,CA-4116,Completed
CL-81539,Microsoft.OleDb.Date,YD-9562,Rejected
CL-95282,Microsoft.OleDb.Date,AY-284049,Pending
CL-77130,Microsoft.OleDb.Date,JK-48840,Completed
CL-62847,Microsoft.OleDb.Date,DG-41810,Pending
CL-29479,Microsoft.OleDb.Date,GA-51592,In Progress
CL-63006,Microsoft.OleDb.Date,XR-468203,Pending
CL-7637,Microsoft.OleDb.Date,PB-49088,Pending
CL-16284,Microsoft.OleDb.Date,NQ-18124,Completed
CL-4847,Microsoft.OleDb.Date,KW-685823,In Progress
CL-99597,Microsoft.OleDb.Date,XW-88833,Pending
CL-94274,Microsoft.OleDb.Date,GS-514137,Rejected
CL-31307,Microsoft.OleDb.Date,XZ-59032,Pending
CL-10956,Microsoft.OleDb.Date,TV-7529,Completed
CL-94965,Microsoft.OleDb.Date,PN-2930,Completed
CL-12667,Microsoft.OleDb.Date,MO-0340,Pending
